iter	Passed	Remaining
0	58	11591
1	58	5803
2	58	3873
3	59	2905
4	59	2329
5	60	1946
6	60	1668
7	60	1463
8	61	1301
9	61	1172
10	62	1067
11	62	979
12	62	904
13	63	839
14	63	784
15	63	735
16	64	691
17	64	653
18	65	619
19	65	587
20	65	560
21	66	534
22	66	510
23	66	489
24	67	469
25	68	455
26	68	438
27	68	422
28	69	407
29	69	394
30	69	381
31	70	368
32	70	357
33	70	346
34	71	335
35	71	326
36	72	317
37	72	309
38	72	301
39	73	294
40	73	286
41	74	279
42	74	272
43	74	265
44	75	259
45	75	253
46	76	247
47	76	241
48	76	236
49	76	230
50	77	225
51	77	221
52	78	216
53	78	212
54	78	208
55	79	203
56	79	199
57	80	196
58	80	193
59	81	189
60	81	186
61	82	182
62	82	179
63	82	176
64	83	172
65	83	169
66	83	166
67	84	163
68	84	160
69	84	157
70	85	154
71	85	152
72	85	149
73	86	147
74	86	144
75	87	142
76	87	139
77	87	137
78	88	135
79	88	133
80	89	131
81	89	128
82	89	126
83	90	124
84	90	122
85	90	120
86	91	118
87	91	116
88	92	114
89	92	112
90	92	111
91	93	109
92	93	107
93	94	106
94	94	104
95	94	102
96	95	100
97	95	99
98	95	97
99	96	96
100	96	94
101	96	93
102	97	91
103	97	90
104	97	88
105	98	87
106	98	85
107	99	84
108	99	83
109	100	81
110	100	80
111	100	79
112	101	77
113	101	76
114	101	75
115	102	74
116	102	72
117	103	71
118	103	70
119	103	69
120	104	67
121	104	66
122	104	65
123	105	64
124	105	63
125	105	62
126	106	61
127	106	60
128	106	58
129	107	57
130	107	56
131	108	55
132	108	54
133	109	53
134	109	52
135	110	51
136	110	50
137	110	49
138	111	48
139	111	47
140	112	46
141	112	45
142	112	44
143	113	43
144	113	43
145	113	42
146	114	41
147	114	40
148	114	39
149	115	38
150	115	37
151	115	36
152	116	35
153	116	34
154	117	34
155	117	33
156	117	32
157	118	31
158	118	30
159	118	29
160	119	28
161	119	28
162	120	27
163	120	26
164	120	25
165	121	24
166	121	24
167	122	23
168	122	22
169	122	21
170	123	20
171	123	20
172	123	19
173	124	18
174	124	17
175	124	17
176	125	16
177	125	15
178	126	14
179	126	14
180	126	13
181	127	12
182	127	11
183	127	11
184	128	10
185	128	9
186	128	8
187	129	8
188	129	7
189	130	6
190	130	6
191	130	5
192	131	4
193	131	4
194	131	3
195	132	2
196	132	2
197	133	1
198	133	0
199	134	0
