seed,model,fold,auroc,accuracy,f1_weighted,brier
42,logistic_regression,0,0.9118,0.9032,0.9028,0.137
42,logistic_regression,1,0.979,0.9677,0.9678,0.1109
42,logistic_regression,2,0.8655,0.871,0.8696,0.1502
42,logistic_regression,3,0.905,0.8,0.7972,0.1404
42,logistic_regression,4,0.9643,0.8667,0.8667,0.1226
42,logistic_regression,5,0.8482,0.7667,0.7627,0.162
42,logistic_regression,6,0.9732,0.9,0.8997,0.116
42,logistic_regression,7,0.8125,0.7333,0.7333,0.1694
42,logistic_regression,8,0.9554,0.9,0.8983,0.1111
42,logistic_regression,9,0.8527,0.8,0.7982,0.1585
0,logistic_regression,0,0.8697,0.7742,0.7641,0.1648
0,logistic_regression,1,0.9118,0.8387,0.8387,0.1158
0,logistic_regression,2,0.9034,0.7742,0.7641,0.1472
0,logistic_regression,3,0.8824,0.8667,0.8648,0.1543
0,logistic_regression,4,0.9107,0.8333,0.8305,0.1369
0,logistic_regression,5,0.9107,0.8667,0.8655,0.1385
0,logistic_regression,6,0.9554,0.8667,0.8667,0.1264
0,logistic_regression,7,0.9107,0.8333,0.8328,0.1371
0,logistic_regression,8,0.8884,0.8333,0.8305,0.1499
0,logistic_regression,9,0.942,0.8667,0.8655,0.1132
1,logistic_regression,0,0.9874,0.9355,0.9355,0.1066
1,logistic_regression,1,0.9202,0.7742,0.7742,0.1357
1,logistic_regression,2,0.9034,0.8387,0.838,0.1411
1,logistic_regression,3,0.7692,0.7333,0.7345,0.2021
1,logistic_regression,4,0.9062,0.8333,0.8305,0.1429
1,logistic_regression,5,1.0,0.9333,0.9327,0.0938
1,logistic_regression,6,0.8571,0.8,0.7944,0.1628
1,logistic_regression,7,0.8795,0.7667,0.7627,0.1582
1,logistic_regression,8,0.8214,0.8667,0.8655,0.1375
1,logistic_regression,9,0.942,0.8,0.7944,0.1264
7,logistic_regression,0,0.9958,0.9677,0.9678,0.0518
7,logistic_regression,1,0.9454,0.8387,0.839,0.1024
7,logistic_regression,2,0.8319,0.8387,0.839,0.1577
7,logistic_regression,3,0.8507,0.8333,0.8324,0.1682
7,logistic_regression,4,0.933,0.8,0.7982,0.1235
7,logistic_regression,5,0.9464,0.8,0.7885,0.129
7,logistic_regression,6,0.9554,0.9333,0.9333,0.0891
7,logistic_regression,7,0.933,0.8667,0.8667,0.1198
7,logistic_regression,8,0.7902,0.7,0.6949,0.1812
7,logistic_regression,9,0.8929,0.8,0.8,0.1349
42,svm,0,0.9118,0.9032,0.9028,0.1206
42,svm,1,0.9706,0.9355,0.9355,0.0717
42,svm,2,0.8613,0.8387,0.8356,0.1294
42,svm,3,0.9005,0.8,0.7972,0.1391
42,svm,4,0.9643,0.9,0.8983,0.0903
42,svm,5,0.8527,0.7667,0.7571,0.1569
42,svm,6,0.9688,0.8667,0.863,0.0856
42,svm,7,0.817,0.7667,0.7659,0.2013
42,svm,8,0.9554,0.9,0.8983,0.0967
42,svm,9,0.8259,0.8,0.7982,0.1611
0,svm,0,0.8824,0.7742,0.7641,0.1416
0,svm,1,0.9034,0.8387,0.8387,0.1196
0,svm,2,0.9076,0.7742,0.7641,0.1274
0,svm,3,0.8824,0.8667,0.8616,0.1445
0,svm,4,0.9107,0.8333,0.8305,0.1198
0,svm,5,0.9107,0.8333,0.8305,0.125
0,svm,6,0.9554,0.8667,0.8667,0.108
0,svm,7,0.9107,0.8667,0.8655,0.1237
0,svm,8,0.8839,0.8667,0.863,0.1238
0,svm,9,0.942,0.8667,0.8655,0.1019
1,svm,0,0.9874,0.9355,0.9348,0.0669
1,svm,1,0.958,0.871,0.871,0.1171
1,svm,2,0.916,0.8387,0.8356,0.1154
1,svm,3,0.7647,0.7,0.6983,0.2165
1,svm,4,0.9107,0.8333,0.8305,0.1221
1,svm,5,1.0,0.9,0.8983,0.054
1,svm,6,0.8571,0.8,0.7885,0.1524
1,svm,7,0.8839,0.7667,0.7627,0.1523
1,svm,8,0.8393,0.8667,0.8655,0.1328
1,svm,9,0.9509,0.8667,0.8667,0.0933
7,svm,0,0.9874,0.871,0.867,0.0621
7,svm,1,0.9202,0.871,0.8696,0.1151
7,svm,2,0.8277,0.8065,0.8065,0.1511
7,svm,3,0.8281,0.8333,0.8324,0.1645
7,svm,4,0.9062,0.8,0.7982,0.127
7,svm,5,0.9018,0.8,0.7885,0.1288
7,svm,6,0.9643,0.9,0.8997,0.0761
7,svm,7,0.9375,0.8,0.7982,0.1024
7,svm,8,0.808,0.7,0.6949,0.2044
7,svm,9,0.8661,0.8,0.8,0.1342
42,random_forest,0,0.9202,0.8387,0.839,0.1176
42,random_forest,1,0.9706,0.9355,0.9348,0.0846
42,random_forest,2,0.8908,0.8065,0.8065,0.1334
42,random_forest,3,0.8778,0.8333,0.8324,0.1445
42,random_forest,4,0.942,0.8,0.8,0.1137
42,random_forest,5,0.8304,0.7667,0.7627,0.1637
42,random_forest,6,0.933,0.8667,0.863,0.1038
42,random_forest,7,0.8795,0.7667,0.7659,0.147
42,random_forest,8,0.9464,0.9,0.8983,0.0971
42,random_forest,9,0.8795,0.8,0.7982,0.1486
0,random_forest,0,0.916,0.7419,0.7261,0.1466
0,random_forest,1,0.9118,0.871,0.8712,0.1115
