seed,model,fold,auroc,accuracy,f1_weighted,brier
42,logistic_regression,0,0.8274,0.7792,0.7732,0.1561
42,logistic_regression,1,0.7985,0.7403,0.7226,0.1758
42,logistic_regression,2,0.803,0.7532,0.7465,0.1737
42,logistic_regression,3,0.9333,0.8312,0.8213,0.1173
42,logistic_regression,4,0.84,0.7922,0.778,0.1546
42,logistic_regression,5,0.857,0.7792,0.7732,0.1454
42,logistic_regression,6,0.8326,0.7922,0.778,0.1595
42,logistic_regression,7,0.8,0.7532,0.7542,0.1638
42,logistic_regression,8,0.8769,0.7632,0.7667,0.1446
42,logistic_regression,9,0.7538,0.7237,0.7062,0.1921
0,logistic_regression,0,0.8156,0.7403,0.7314,0.1674
0,logistic_regression,1,0.8474,0.7532,0.7339,0.1505
0,logistic_regression,2,0.8333,0.8052,0.8043,0.1522
0,logistic_regression,3,0.7585,0.7273,0.6997,0.1898
0,logistic_regression,4,0.86,0.7922,0.7879,0.1475
0,logistic_regression,5,0.7844,0.7403,0.7349,0.1765
0,logistic_regression,6,0.9104,0.8442,0.8388,0.117
0,logistic_regression,7,0.84,0.7532,0.7339,0.1546
0,logistic_regression,8,0.88,0.8026,0.7995,0.1378
0,logistic_regression,9,0.7654,0.7632,0.7578,0.1817
1,logistic_regression,0,0.8259,0.7273,0.6997,0.1671
1,logistic_regression,1,0.8459,0.7922,0.7922,0.154
1,logistic_regression,2,0.8081,0.7403,0.7422,0.1711
1,logistic_regression,3,0.8778,0.8182,0.8182,0.1393
1,logistic_regression,4,0.8719,0.7792,0.7619,0.1388
1,logistic_regression,5,0.923,0.8312,0.8179,0.122
1,logistic_regression,6,0.8119,0.7662,0.7582,0.1627
1,logistic_regression,7,0.8037,0.7662,0.7546,0.1679
1,logistic_regression,8,0.8592,0.8158,0.809,0.1347
1,logistic_regression,9,0.7015,0.6447,0.6287,0.22
7,logistic_regression,0,0.8489,0.7662,0.7546,0.1569
7,logistic_regression,1,0.7822,0.7662,0.7582,0.1664
7,logistic_regression,2,0.8607,0.8052,0.7999,0.1461
7,logistic_regression,3,0.8467,0.8052,0.7999,0.1484
7,logistic_regression,4,0.7726,0.7273,0.6926,0.1832
7,logistic_regression,5,0.7985,0.7403,0.7273,0.1733
7,logistic_regression,6,0.8941,0.8182,0.8091,0.1305
7,logistic_regression,7,0.843,0.7532,0.7521,0.1631
7,logistic_regression,8,0.8169,0.7763,0.7752,0.1588
7,logistic_regression,9,0.8777,0.8026,0.7937,0.1338
42,svm,0,0.8489,0.7792,0.77,0.1497
42,svm,1,0.803,0.7403,0.7226,0.1834
42,svm,2,0.7956,0.7273,0.7199,0.1838
42,svm,3,0.9252,0.8182,0.8058,0.1145
42,svm,4,0.8478,0.7792,0.7619,0.1485
42,svm,5,0.8519,0.7662,0.7582,0.1485
42,svm,6,0.823,0.7662,0.7503,0.1628
42,svm,7,0.8037,0.7532,0.7496,0.1603
42,svm,8,0.8331,0.7368,0.7342,0.1587
42,svm,9,0.7623,0.75,0.7289,0.1891
0,svm,0,0.7689,0.7273,0.7159,0.1802
0,svm,1,0.8252,0.7403,0.7226,0.1602
0,svm,2,0.8474,0.7922,0.7902,0.148
0,svm,3,0.7444,0.7013,0.6838,0.2043
0,svm,4,0.8563,0.8052,0.7999,0.1486
0,svm,5,0.7815,0.7403,0.7273,0.1769
0,svm,6,0.917,0.8571,0.8512,0.1174
0,svm,7,0.8822,0.7922,0.778,0.1402
0,svm,8,0.8792,0.8289,0.8239,0.1359
0,svm,9,0.7877,0.7632,0.7544,0.1757
1,svm,0,0.837,0.7273,0.6997,0.1653
1,svm,1,0.8474,0.7662,0.7662,0.1522
1,svm,2,0.8267,0.7792,0.7782,0.1624
1,svm,3,0.8904,0.8442,0.8409,0.1326
1,svm,4,0.8563,0.7403,0.7171,0.1543
1,svm,5,0.9185,0.8442,0.8302,0.1167
1,svm,6,0.8133,0.7792,0.77,0.1602
1,svm,7,0.8044,0.7532,0.7388,0.1663
1,svm,8,0.8608,0.8026,0.7968,0.139
1,svm,9,0.7092,0.6316,0.618,0.2205
7,svm,0,0.8385,0.7532,0.7388,0.1637
7,svm,1,0.7793,0.7662,0.7546,0.1664
7,svm,2,0.8652,0.7922,0.7851,0.144
7,svm,3,0.8504,0.8312,0.8241,0.1422
7,svm,4,0.7704,0.7532,0.7283,0.1846
7,svm,5,0.7696,0.7403,0.7349,0.181
7,svm,6,0.9037,0.8052,0.7971,0.1309
7,svm,7,0.8459,0.7662,0.7662,0.1613
7,svm,8,0.8292,0.7763,0.7752,0.1524
7,svm,9,0.8692,0.8026,0.7937,0.1402
42,random_forest,0,0.897,0.7922,0.7902,0.1391
42,random_forest,1,0.8356,0.7532,0.7339,0.1634
42,random_forest,2,0.7993,0.7403,0.7314,0.1708
42,random_forest,3,0.9326,0.8701,0.8636,0.1158
42,random_forest,4,0.8578,0.8312,0.8241,0.1479
42,random_forest,5,0.8222,0.7662,0.7546,0.1626
42,random_forest,6,0.8178,0.7403,0.7226,0.1692
42,random_forest,7,0.8178,0.7273,0.726,0.1654
42,random_forest,8,0.8385,0.7632,0.7651,0.1616
42,random_forest,9,0.7554,0.7368,0.7309,0.1845
0,random_forest,0,0.7837,0.7532,0.7496,0.1765
0,random_forest,1,0.8215,0.7532,0.7388,0.1568
0,random_forest,2,0.8519,0.7792,0.7782,0.1493
0,random_forest,3,0.7622,0.7143,0.6948,0.1866
0,random_forest,4,0.8259,0.7532,0.7521,0.1591
0,random_forest,5,0.7993,0.7403,0.7349,0.1732
0,random_forest,6,0.92,0.8571,0.8533,0.123
0,random_forest,7,0.8563,0.7922,0.7737,0.1518
0,random_forest,8,0.8869,0.8289,0.8181,0.1347
0,random_forest,9,0.7777,0.7237,0.7112,0.1793
1,random_forest,0,0.7933,0.7273,0.7059,0.1755
1,random_forest,1,0.8193,0.7792,0.7759,0.1674
1,random_forest,2,0.8074,0.7662,0.7662,0.1758
1,random_forest,3,0.8933,0.8442,0.8442,0.1381
1,random_forest,4,0.8926,0.7792,0.7619,0.1461
1,random_forest,5,0.9222,0.8442,0.8335,0.1211
1,random_forest,6,0.8333,0.7662,0.7582,0.1629
1,random_forest,7,0.8104,0.7143,0.7143,0.1678
1,random_forest,8,0.8792,0.8158,0.809,0.1367
1,random_forest,9,0.7423,0.6579,0.6502,0.1934
7,random_forest,0,0.8378,0.7532,0.7429,0.1585
7,random_forest,1,0.7667,0.7662,0.7546,0.1779
7,random_forest,2,0.8948,0.8312,0.8266,0.1347
7,random_forest,3,0.8807,0.8052,0.7971,0.1393
7,random_forest,4,0.7511,0.7013,0.6711,0.189
7,random_forest,5,0.7519,0.7662,0.7546,0.1873
7,random_forest,6,0.9059,0.7792,0.7732,0.1339
7,random_forest,7,0.8148,0.7532,0.7542,0.1673
7,random_forest,8,0.8331,0.7368,0.7309,0.1613
7,random_forest,9,0.8454,0.7763,0.7697,0.1506
42,mlp,0,0.8496,0.7792,0.7782,0.1499
42,mlp,1,0.8237,0.7792,0.7663,0.182
42,mlp,2,0.8133,0.7273,0.7232,0.1751
42,mlp,3,0.9274,0.8442,0.8364,0.118
42,mlp,4,0.8222,0.7532,0.7496,0.158
42,mlp,5,0.8207,0.7532,0.7496,0.1618
42,mlp,6,0.82,0.7662,0.7546,0.1615
42,mlp,7,0.7963,0.7403,0.7438,0.1736
42,mlp,8,0.8508,0.7368,0.739,0.1577
42,mlp,9,0.7931,0.7368,0.7309,0.1795
0,mlp,0,0.8407,0.7792,0.7816,0.1603
0,mlp,1,0.8126,0.7143,0.7045,0.1705
0,mlp,2,0.7222,0.7403,0.7226,0.2161
0,mlp,3,0.7578,0.7013,0.6779,0.2028
0,mlp,4,0.8674,0.7792,0.7816,0.1419
0,mlp,5,0.783,0.7013,0.6969,0.1828
0,mlp,6,0.8889,0.8182,0.8091,0.1468
0,mlp,7,0.8585,0.7662,0.7614,0.148
0,mlp,8,0.8585,0.7895,0.7848,0.1427
0,mlp,9,0.7346,0.75,0.7427,0.1981
1,mlp,0,0.817,0.7662,0.7503,0.1684
1,mlp,1,0.8563,0.7403,0.7226,0.168
1,mlp,2,0.8059,0.7143,0.7203,0.1886
1,mlp,3,0.8837,0.8442,0.8442,0.1327
1,mlp,4,0.8667,0.7532,0.7219,0.1593
1,mlp,5,0.9281,0.8442,0.8302,0.126
1,mlp,6,0.8074,0.7273,0.7159,0.1722
1,mlp,7,0.7741,0.7013,0.7025,0.1835
1,mlp,8,0.8315,0.7763,0.7697,0.1586
1,mlp,9,0.7015,0.6711,0.6432,0.2026
7,mlp,0,0.8333,0.7662,0.7582,0.1586
7,mlp,1,0.7733,0.7922,0.7879,0.1788
7,mlp,2,0.8681,0.7403,0.7438,0.1506
7,mlp,3,0.8622,0.8182,0.812,0.1432
7,mlp,4,0.7748,0.7143,0.6738,0.1839
7,mlp,5,0.8104,0.7532,0.7219,0.1787
7,mlp,6,0.8659,0.7922,0.778,0.1506
7,mlp,7,0.8459,0.7532,0.7559,0.1624
7,mlp,8,0.8246,0.7632,0.7544,0.1756
7,mlp,9,0.8785,0.8026,0.7811,0.1618
42,xgboost,0,0.9,0.8052,0.8043,0.1329
42,xgboost,1,0.8593,0.7792,0.7663,0.1534
42,xgboost,2,0.8111,0.7532,0.7496,0.1679
42,xgboost,3,0.9244,0.8831,0.8782,0.106
42,xgboost,4,0.8644,0.8312,0.8241,0.1425
42,xgboost,5,0.8259,0.7273,0.7199,0.1643
42,xgboost,6,0.8156,0.7403,0.7314,0.1648
42,xgboost,7,0.8141,0.7013,0.7045,0.1691
42,xgboost,8,0.8538,0.7895,0.7926,0.1533
42,xgboost,9,0.7385,0.6974,0.6885,0.1908
0,xgboost,0,0.7844,0.7792,0.7759,0.1783
0,xgboost,1,0.8378,0.7662,0.7614,0.1595
0,xgboost,2,0.8437,0.7922,0.7902,0.1536
0,xgboost,3,0.7637,0.7143,0.6948,0.1863
0,xgboost,4,0.863,0.8182,0.8182,0.1426
0,xgboost,5,0.8015,0.7403,0.7378,0.1745
0,xgboost,6,0.9407,0.8961,0.8939,0.103
0,xgboost,7,0.8356,0.7273,0.7199,0.1571
0,xgboost,8,0.8723,0.8158,0.8059,0.1338
0,xgboost,9,0.7615,0.7632,0.7632,0.1922
1,xgboost,0,0.817,0.7273,0.7059,0.162
1,xgboost,1,0.8178,0.7662,0.768,0.1619
1,xgboost,2,0.8096,0.7532,0.7559,0.171
1,xgboost,3,0.8744,0.7792,0.7663,0.1582
1,xgboost,4,0.86,0.7662,0.7546,0.1486
1,xgboost,5,0.8889,0.8442,0.8335,0.1265
1,xgboost,6,0.7948,0.7273,0.7232,0.1702
1,xgboost,7,0.797,0.7143,0.7116,0.167
1,xgboost,8,0.8785,0.7895,0.7848,0.1277
1,xgboost,9,0.7323,0.6711,0.6658,0.2042
7,xgboost,0,0.8556,0.7662,0.7546,0.1516
7,xgboost,1,0.7548,0.7273,0.7199,0.1837
7,xgboost,2,0.9163,0.8182,0.812,0.1161
7,xgboost,3,0.897,0.8052,0.7971,0.1287
7,xgboost,4,0.7726,0.6883,0.6605,0.1874
