dataset,model,feature,importance_mean,importance_std,rank,n_repeats
heart,logistic_regression,age,-0.001603,0.008968,12,10
heart,logistic_regression,sex,0.013682,0.017989,4,10
heart,logistic_regression,cp,0.016177,0.020438,3,10
heart,logistic_regression,trestbps,-0.001829,0.013841,13,10
heart,logistic_regression,chol,-0.000318,0.004877,9,10
heart,logistic_regression,fbs,-0.001205,0.002893,11,10
heart,logistic_regression,restecg,0.000558,0.009104,8,10
heart,logistic_regression,thalach,0.00461,0.01886,7,10
heart,logistic_regression,exang,0.009079,0.01303,5,10
heart,logistic_regression,oldpeak,0.005637,0.015251,6,10
heart,logistic_regression,slope,-0.00102,0.01679,10,10
heart,logistic_regression,ca,0.027875,0.012066,2,10
heart,logistic_regression,thal,0.028335,0.025651,1,10
heart,svm,age,-0.002157,0.004909,12,10
heart,svm,sex,0.012624,0.016768,4,10
heart,svm,cp,0.0149,0.017288,3,10
heart,svm,trestbps,-0.001187,0.011505,10,10
heart,svm,chol,-0.000358,0.004528,9,10
heart,svm,fbs,-0.00231,0.005326,13,10
heart,svm,restecg,0.002288,0.007693,8,10
heart,svm,thalach,0.00489,0.019342,7,10
heart,svm,exang,0.010523,0.014161,5,10
heart,svm,oldpeak,0.00637,0.014984,6,10
heart,svm,slope,-0.001529,0.01287,11,10
heart,svm,ca,0.025924,0.013602,2,10
heart,svm,thal,0.031336,0.02587,1,10
heart,random_forest,age,0.003523,0.009885,7,10
heart,random_forest,sex,0.011844,0.01254,4,10
heart,random_forest,cp,0.030437,0.028015,3,10
heart,random_forest,trestbps,-0.00206,0.010895,12,10
heart,random_forest,chol,-0.00177,0.008536,11,10
heart,random_forest,fbs,0.001594,0.003526,9,10
heart,random_forest,restecg,-0.000488,0.005348,10,10
heart,random_forest,thalach,-0.002436,0.01159,13,10
heart,random_forest,exang,0.005793,0.011818,6,10
heart,random_forest,oldpeak,0.009224,0.019561,5,10
heart,random_forest,slope,0.001977,0.010261,8,10
heart,random_forest,ca,0.042861,0.023566,1,10
heart,random_forest,thal,0.031078,0.016372,2,10
heart,mlp,age,0.008585,0.0145,9,10
heart,mlp,sex,0.029532,0.018486,4,10
heart,mlp,cp,0.031733,0.022756,3,10
heart,mlp,trestbps,0.000946,0.00722,13,10
heart,mlp,chol,0.005266,0.014733,12,10
heart,mlp,fbs,0.006076,0.009998,11,10
heart,mlp,restecg,0.010849,0.021394,8,10
heart,mlp,thalach,0.018245,0.02017,6,10
heart,mlp,exang,0.018479,0.01492,5,10
heart,mlp,oldpeak,0.012459,0.013845,7,10
